card_type,situation_template,team_games,future_snaps,brier_lift_vs_league,relative_brier_improvement,log_loss_lift_vs_league,model_accuracy,league_accuracy,accuracy_lift_vs_league,calibration_bias
BALANCE_WARNING,PERS,49,381,0.021603717210819492,0.08388633181744413,0.049491291447786336,0.5800524934383202,0.5800524934383202,0.0,0.052344540016406316
BALANCE_WARNING,PERS | DOWN | DIST,275,1722,0.010351886124212565,0.04165172423132956,0.02422494400444779,0.573170731707317,0.573170731707317,0.0,0.024190657121023217
BALANCE_WARNING,PERS | MOTION,197,2773,0.006731193016549817,0.02755439997481448,0.01589908324469947,0.6083663901911287,0.6083663901911287,0.0,0.015854555990009043
BALANCE_WARNING,QB | PERS | DOWN,253,1253,0.005446222560136239,0.023731202075613154,0.014175157653329863,0.6488427773343974,0.6488427773343974,0.0,0.023773956695565344
BALANCE_WARNING,QB | PERS | MOTION,391,2423,0.00445272998102418,0.021163292815561462,0.011709932117646203,0.6929426330994635,0.6929426330994635,0.0,0.014945147690893114
BALANCE_WARNING,DOWN | DIST,144,585,0.0027808975147447846,0.012670013666267887,0.010214433671540542,0.6820512820512821,0.6820512820512821,0.0,0.03896021382308075
BALANCE_WARNING,QB | MOTION | DOWN,416,2648,0.002292290975418948,0.010509065823539766,0.008861145534244006,0.6854229607250756,0.6854229607250756,0.0,0.0010609203444444427
BALANCE_WARNING,QB | DOWN | DIST,307,1726,0.0021606295881373555,0.009632421256333698,0.00846256523030283,0.6657010428736964,0.6657010428736964,0.0,-0.0012284912930013274
BALANCE_WARNING,FORM | PERS,36,148,0.000878135410255953,0.00399633287897772,0.00489522170228969,0.6891891891891891,0.6891891891891891,0.0,-0.09178939896910811
BALANCE_WARNING,FORM | PERS | DOWN,141,673,0.0007655499093340639,0.003631908053755009,0.0031248856751532475,0.6998514115898959,0.6998514115898959,0.0,-0.004694004422014421
BALANCE_WARNING,PREV | QB,352,2417,-0.002835751073641046,-0.014213274759783835,-0.005972782975327313,0.7170045510964005,0.7170045510964005,0.0,0.014773211144409526
BALANCE_WARNING,QB,28,122,-0.00452785499663092,-0.02095644599725631,-0.008534742467012281,0.6885245901639344,0.6885245901639344,0.0,-0.07928811339246819
BALANCE_WARNING,QB | MOTION,86,542,-0.00583946220268098,-0.02756080166472871,-0.011684897311609575,0.6937269372693727,0.6937269372693727,0.0,-0.03875853769673865
BALANCE_WARNING,QB | PERS,98,400,-0.009845948267569732,-0.046701808912058745,-0.021006616422299017,0.6975,0.6975,0.0,-0.056357148801092
ENRICHED_CALL_TELL,FORM,79,396,0.014925956325066898,0.09685854390966876,0.04272301056344528,0.8282828282828283,0.8282828282828283,0.0,0.007791823697173728
ENRICHED_CALL_TELL,PERS,166,1110,0.01312467435426151,0.05724426484546058,0.02803150685583914,0.6765765765765765,0.6144144144144145,0.062162162162162166,-0.0016165490880582893
ENRICHED_CALL_TELL,QB | PERS,78,369,0.011609694252999151,0.07342825008041742,0.02811427926093535,0.8238482384823849,0.8238482384823849,0.0,0.009052342887010423
ENRICHED_CALL_TELL,QB | PERS | MOTION,590,5343,0.007068952472013751,0.05509630624076065,0.02236104868587322,0.8519558300580199,0.8521429908291223,-0.00018716077110237696,-0.005396035162320694
ENRICHED_CALL_TELL,FORM | PERS,97,488,0.00529693055354556,0.0306588580193158,0.01351437903564934,0.7827868852459017,0.7827868852459017,0.0,0.011688034711751038
ENRICHED_CALL_TELL,QB | PERS | DOWN,295,1667,0.0045830466770806514,0.031092258220305438,0.011988620216506466,0.8242351529694061,0.8242351529694061,0.0,-0.01470695149935212
ENRICHED_CALL_TELL,FORM | PERS | DOWN,330,1587,0.003201313892399022,0.01896921567823298,0.007685481478337422,0.7863894139886578,0.7863894139886578,0.0,0.007256148576089204
ENRICHED_CALL_TELL,PERS | MOTION,559,6791,0.0026892860469984515,0.012865751423589821,0.005548703100008911,0.6922397290531586,0.6720659696657341,0.020173759387424533,-0.01290452119014593
ENRICHED_CALL_TELL,PERS | DOWN | DIST,487,3752,0.002114534962009398,0.010009822146710373,0.0038295717377126092,0.6908315565031983,0.6876332622601279,0.0031982942430703624,-0.02431529360290821
LIVE_CALL_TELL,QB,51,255,0.012926366348319644,0.09099385444254841,0.036456670148185086,0.8470588235294118,0.8470588235294118,0.0,-0.009307408557838213
LIVE_CALL_TELL,QB | DOWN | DIST,421,2766,0.006079182725782632,0.039238526305874134,0.015954303946509162,0.8148951554591468,0.8156182212581344,-0.0007230657989877079,-0.0086638821521353
LIVE_CALL_TELL,QB | MOTION,248,2151,0.00566418292009537,0.04624638949991964,0.019724816972760635,0.8600650860065086,0.8600650860065086,0.0,0.0020123493347912217
LIVE_CALL_TELL,PREV | QB,496,3693,0.004278943407676623,0.0311540778039093,0.011758285653212302,0.8380720281613864,0.8380720281613864,0.0,-0.007847149954220436
LIVE_CALL_TELL,DOWN | DIST,480,4757,0.003754243980914463,0.016989884198457948,0.007493812504543267,0.6605003153247845,0.6451545091444187,0.015345806180365776,-0.03241524621249453
LIVE_CALL_TELL,QB | MOTION | DOWN,558,4066,0.0029840912405659577,0.01836368033351747,0.006307335135726493,0.794884407279882,0.794884407279882,0.0,-0.003944100962817762
